party,count,pct,state,county,fips
Donald J. Trump,18172,72.77,alabama,autauga-county,1001
Hillary Clinton,5936,23.77,alabama,autauga-county,1001
Gary Johnson,546,2.19,alabama,autauga-county,1001
Write-ins,214,0.86,alabama,autauga-county,1001
Dr. Jill Stein,105,0.42,alabama,autauga-county,1001
Donald J. Trump,72883,76.55,alabama,baldwin-county,1003
Hillary Clinton,18458,19.39,alabama,baldwin-county,1003
Gary Johnson,2464,2.59,alabama,baldwin-county,1003
Write-ins,954,1.00,alabama,baldwin-county,1003
Dr. Jill Stein,456,0.48,alabama,baldwin-county,1003
Donald J. Trump,5454,52.10,alabama,barbour-county,1005
Hillary Clinton,4871,46.53,alabama,barbour-county,1005
Gary Johnson,93,0.89,alabama,barbour-county,1005
Write-ins,33,0.32,alabama,barbour-county,1005
Dr. Jill Stein,18,0.17,alabama,barbour-county,1005
Donald J. Trump,6738,76.40,alabama,bibb-county,1007
Hillary Clinton,1874,21.25,alabama,bibb-county,1007
Gary Johnson,124,1.41,alabama,bibb-county,1007
Write-ins,66,0.75,alabama,bibb-county,1007
Dr. Jill Stein,17,0.19,alabama,bibb-county,1007
Donald J. Trump,22859,89.33,alabama,blount-county,1009
Hillary Clinton,2156,8.43,alabama,blount-county,1009
Gary Johnson,338,1.32,alabama,blount-county,1009
Write-ins,146,0.57,alabama,blount-county,1009
Dr. Jill Stein,89,0.35,alabama,blount-county,1009
Hillary Clinton,3530,74.95,alabama,bullock-county,1011
Donald J. Trump,1140,24.20,alabama,bullock-county,1011
Gary Johnson,22,0.47,alabama,bullock-county,1011
Other,18,0.38,alabama,bullock-county,1011
Donald J. Trump,4901,56.13,alabama,butler-county,1013
Hillary Clinton,3726,42.67,alabama,butler-county,1013
Gary Johnson,65,0.74,alabama,butler-county,1013
Write-ins,27,0.31,alabama,butler-county,1013
Dr. Jill Stein,13,0.15,alabama,butler-county,1013
Donald J. Trump,32865,68.66,alabama,calhoun-county,1015
Hillary Clinton,13242,27.67,alabama,calhoun-county,1015
Gary Johnson,1116,2.33,alabama,calhoun-county,1015
Write-ins,379,0.79,alabama,calhoun-county,1015
Dr. Jill Stein,262,0.55,alabama,calhoun-county,1015
Donald J. Trump,7843,56.42,alabama,chambers-county,1017
Hillary Clinton,5784,41.61,alabama,chambers-county,1017
Gary Johnson,168,1.21,alabama,chambers-county,1017
Write-ins,61,0.44,alabama,chambers-county,1017
Dr. Jill Stein,44,0.32,alabama,chambers-county,1017
Donald J. Trump,8953,83.42,alabama,cherokee-county,1019
Hillary Clinton,1547,14.41,alabama,cherokee-county,1019
Gary Johnson,147,1.37,alabama,cherokee-county,1019
Write-ins,60,0.56,alabama,cherokee-county,1019
Dr. Jill Stein,26,0.24,alabama,cherokee-county,1019
Donald J. Trump,15081,82.10,alabama,chilton-county,1021
Hillary Clinton,2911,15.85,alabama,chilton-county,1021
Gary Johnson,228,1.24,alabama,chilton-county,1021
Write-ins,97,0.53,alabama,chilton-county,1021
Dr. Jill Stein,52,0.28,alabama,chilton-county,1021
Donald J. Trump,4106,56.31,alabama,choctaw-county,1023
Hillary Clinton,3109,42.64,alabama,choctaw-county,1023
Gary Johnson,52,0.71,alabama,choctaw-county,1023
Write-ins,19,0.26,alabama,choctaw-county,1023
Dr. Jill Stein,6,0.08,alabama,choctaw-county,1023
Donald J. Trump,7140,54.79,alabama,clarke-county,1025
Hillary Clinton,5749,44.12,alabama,clarke-county,1025
Gary Johnson,99,0.76,alabama,clarke-county,1025
Other,43,0.33,alabama,clarke-county,1025
Donald J. Trump,5245,79.18,alabama,clay-county,1027
Hillary Clinton,1237,18.67,alabama,clay-county,1027
Gary Johnson,93,1.40,alabama,clay-county,1027
Write-ins,33,0.50,alabama,clay-county,1027
Dr. Jill Stein,16,0.24,alabama,clay-county,1027
Donald J. Trump,5764,87.43,alabama,cleburne-county,1029
Hillary Clinton,684,10.37,alabama,cleburne-county,1029
Gary Johnson,90,1.37,alabama,cleburne-county,1029
Write-ins,35,0.53,alabama,cleburne-county,1029
Dr. Jill Stein,20,0.30,alabama,cleburne-county,1029
Donald J. Trump,15875,76.44,alabama,coffee-county,1031
Hillary Clinton,4221,20.33,alabama,coffee-county,1031
Gary Johnson,396,1.91,alabama,coffee-county,1031
Write-ins,171,0.82,alabama,coffee-county,1031
Dr. Jill Stein,104,0.50,alabama,coffee-county,1031
Donald J. Trump,16746,67.21,alabama,colbert-county,1033
Hillary Clinton,7312,29.35,alabama,colbert-county,1033
